Call: 0.9957 | Fold: 0.0043 | Since: 0.0 | **: 0.0
Fold: 0.7713 | Call: 0.2287 |  Fold: 0.0 |  Call: 0.0
Check: 1.0 | Bet: 0.0 | : 0.0 |  Check: 0.0
Check: 1.0 | Bet: 0.0 | : 0.0 |  Check: 0.0
Fold: 1.0 | Call: 0.0 |  Fold: 0.0 | : 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 |  Bet: 0.0
Bet: 0.9995 | Check: 0.0005 | : 0.0 |  Bet: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 |  Bet: 0.0
Call: 1.0 | Fold: 0.0 | : 0.0 | CallCheck: 0.0
Fold: 1.0 | Call: 0.0 | : 0.0 | F: 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 |  Bet: 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 |  Bet: 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 |  Bet: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 |  Bet: 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 |  Bet: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 | **: 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 |  Bet: 0.0
Fold: 1.0 | Call: 0.0 | : 0.0 |  Fold: 0.0
Fold: 1.0 | : 0.0 |  Fold: 0.0 | _fold: 0.0
Check: 1.0 | Bet: 0.0 | : 0.0 | Fold: 0.0
Check: 1.0 | Bet: 0.0 | : 0.0 |  Check: 0.0
Call: 1.0 | Fold: 0.0 | CallCheck: 0.0 | : 0.0
Check: 1.0 | Bet: 0.0 | : 0.0 |  Check: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 |  Bet: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 |  Bet: 0.0
Fold: 1.0 | : 0.0 | Call: 0.0 |  Fold: 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 |  Bet: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 | **: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 | **: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 |  Bet: 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 |  Bet: 0.0
Fold: 1.0 | Call: 0.0 |  Fold: 0.0 | : 0.0
Bet: 1.0 | : 0.0 | **: 0.0 | Check: 0.0
Check: 1.0 | Bet: 0.0 | : 0.0 | Fold: 0.0
Check: 1.0 | Bet: 0.0 | : 0.0 |  Check: 0.0
Fold: 1.0 | Call: 0.0 | : 0.0 |  Fold: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 |  Bet: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 |  Bet: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 | **: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 |  Bet: 0.0
Check: 1.0 | Bet: 0.0 | : 0.0 | Fold: 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 |  Bet: 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 |  Bet: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 | **: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 |  Bet: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 | **: 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 |  Bet: 0.0
Bet: 1.0 | : 0.0 | **: 0.0 |  Bet: 0.0
Fold: 1.0 | : 0.0 | Call: 0.0 | F: 0.0
Check: 1.0 | Bet: 0.0 | : 0.0 | Fold: 0.0
Fold: 1.0 | Call: 0.0 | : 0.0 |  Fold: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 |  Bet: 0.0
Check: 1.0 | Bet: 0.0 | : 0.0 |  Check: 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 |  Bet: 0.0
Check: 1.0 | Bet: 0.0 | : 0.0 | Fold: 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 |  Bet: 0.0
Call: 1.0 | Fold: 0.0 |  Call: 0.0 | CallCheck: 0.0
Fold: 1.0 | Call: 0.0 | : 0.0 |  Fold: 0.0
Fold: 1.0 | Call: 0.0 | _fold: 0.0 | : 0.0
Bet: 1.0 | Check: 0.0 | : 0.0 |  Bet: 0.0
Bet: 1.0 | : 0.0 | Check: 0.0 |  Bet: 0.0
