Call: 0.9933 | Fold: 0.0067 |  Call: 0.0 | : 0.0
Bet: 0.9941 | Check: 0.0059 |  Bet: 0.0 | bet: 0.0
Bet: 1.0 |  Bet: 0.0 | Check: 0.0 | : 0.0
Bet: 0.9999 | Check: 0.0001 |  Bet: 0.0 | Call: 0.0
Bet: 0.9995 | Check: 0.0005 | Call: 0.0 |  Bet: 0.0
Bet: 0.9948 | Check: 0.0052 |  Bet: 0.0 | bet: 0.0
Fold: 1.0 | Call: 0.0 | Bet: 0.0 | _fold: 0.0
Call: 0.7773 | Fold: 0.2227 |  Call: 0.0 | fold: 0.0
Fold: 1.0 | Call: 0.0 |  Fold: 0.0 | _fold: 0.0
Fold: 1.0 |  Fold: 0.0 | Call: 0.0 | : 0.0
Bet: 1.0 |  Bet: 0.0 | Check: 0.0 |  : 0.0
Call: 0.7549 | Fold: 0.2451 |  Call: 0.0 | fold: 0.0
Call: 1.0 |  Call: 0.0 |  : 0.0 | _Call: 0.0
Bet: 0.9998 | Check: 0.0002 |  Bet: 0.0 | Bat: 0.0
Bet: 0.9998 | Check: 0.0002 |  Bet: 0.0 | Fold: 0.0
Call: 0.6792 | Fold: 0.3208 |  Fold: 0.0 | Cal: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | Call: 0.0
Bet: 1.0 |  Bet: 0.0 | : 0.0 | Check: 0.0
Bet: 1.0 |  Bet: 0.0 | : 0.0 | Check: 0.0
Bet: 0.9999 | Check: 0.0001 |  Bet: 0.0 | Call: 0.0
Bet: 0.9994 | Check: 0.0006 |  Bet: 0.0 | Fold: 0.0
Bet: 0.9999 | Check: 0.0001 |  Bet: 0.0 | : 0.0
Call: 0.9859 | Fold: 0.0141 |  Call: 0.0 | Cal: 0.0
Bet: 0.9997 | Check: 0.0003 |  Bet: 0.0 | bet: 0.0
Bet: 0.9999 | Check: 0.0001 | Call: 0.0 |  Bet: 0.0
Bet: 0.9914 | Check: 0.0086 |  Bet: 0.0 | bet: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Bet: 0.9999 | Check: 0.0001 |  Bet: 0.0 | Call: 0.0
Bet: 0.9998 | Check: 0.0002 |  Bet: 0.0 | Call: 0.0
Bet: 1.0 |  Bet: 0.0 | Check: 0.0 | : 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Bet: 1.0 |  Bet: 0.0 | Check: 0.0 | : 0.0
Fold: 1.0 | Call: 0.0 |  Fold: 0.0 | _fold: 0.0
Fold: 1.0 | Call: 0.0 |  Fold: 0.0 | _fold: 0.0
Call: 0.9466 | Fold: 0.0534 | Cal: 0.0 |  Call: 0.0
Call: 1.0 |  Call: 0.0 | Bet: 0.0 | _Call: 0.0
