Bet: 1.0 | Check: 0.0 | **: 0.0 |  Bet: 0.0
Check: 0.9994 | Bet: 0.0006 |  Check: 0.0 | check: 0.0
Check: 0.9996 | Bet: 0.0004 |  Check: 0.0 | check: 0.0
Bet: 0.9924 | Check: 0.0076 |  Bet: 0.0 | bet: 0.0
Check: 0.999 | Bet: 0.001 |  Check: 0.0 | check: 0.0
Check: 0.9995 | Bet: 0.0005 |  Check: 0.0 | check: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Bet: 0.9466 | Check: 0.0534 |  Bet: 0.0 | bet: 0.0
Fold: 1.0 | Call: 0.0 |  Fold: 0.0 | Check: 0.0
Bet: 1.0 |  Bet: 0.0 | Check: 0.0 | : 0.0
Check: 0.9998 | Bet: 0.0002 |  Check: 0.0 | check: 0.0
Bet: 0.9149 | Check: 0.0851 |  Bet: 0.0 | bet: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Fold: 1.0 | Call: 0.0 |  Fold: 0.0 | Check: 0.0
Bet: 1.0 |  Bet: 0.0 | Check: 0.0 | : 0.0
Check: 0.999 | Bet: 0.001 |  Check: 0.0 | check: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | Please: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Check: 0.9993 | Bet: 0.0007 |  Check: 0.0 | Fold: 0.0
Bet: 0.9903 | Check: 0.0097 |  Bet: 0.0 | bet: 0.0
Fold: 1.0 | Call: 0.0 |  Fold: 0.0 | _fold: 0.0
Check: 0.9995 | Bet: 0.0005 |  Check: 0.0 | check: 0.0
Call: 1.0 | Fold: 0.0 |  Call: 0.0 | Bet: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | Call: 0.0
Check: 0.9964 | Bet: 0.0036 |  Check: 0.0 | Fold: 0.0
Bet: 0.982 | Check: 0.018 |  Bet: 0.0 | bet: 0.0
Fold: 1.0 | _fold: 0.0 |  Fold: 0.0 | Check: 0.0
Check: 0.9993 | Bet: 0.0007 |  Check: 0.0 | check: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Bet: 0.9933 | Check: 0.0067 |  Bet: 0.0 | bet: 0.0
Check: 0.9999 | Bet: 0.0001 |  Check: 0.0 | 	Check: 0.0
Bet: 1.0 | Check: 0.0 |  Bet: 0.0 | : 0.0
Bet: 0.9978 | Check: 0.0022 |  Bet: 0.0 | bet: 0.0
Fold: 1.0 |  Fold: 0.0 | : 0.0 | Call: 0.0
Bet: 0.999 | Check: 0.001 |  Bet: 0.0 | bet: 0.0
Fold: 1.0 | Call: 0.0 | _fold: 0.0 |  Fold: 0.0
Check: 1.0 | Bet: 0.0 |  Check: 0.0 | 	Check: 0.0
Check: 0.9999 | Bet: 0.0001 |  Check: 0.0 | 	Check: 0.0
